id,commercial_name,county_code,full_address,UTMx,UTMy,latitude,longitude
cens-0811410007-20,FORN ARTESÀ DEL BADORC,11.0,"AVGDA JOAQUIM DE BARNOLA I BASOLS 2-4 NAU 5, 08760 MARTORELL",410383.0,4592896.0,41.4826135,1.9265586
cens-0811410007-962,DEGUSTACIÓ POSTRES MEDITERRÀNIES - LAURA FARINA,11.0,"PL VI 1-5, parada, 08760 MARTORELL",409727.0,4592448.0,41.4785052,1.9187694
cens-0811410007-870,ROMÀ FORN PASTISSERIA,11.0,"PL FREDERIC DURAN 4, 08760 MARTORELL",409601.0,4592963.0,41.4831291,1.9171833
cens-0811410007-709,PANADERIA PASTELERIA NEREA,11.0,"C ESPARREGUERA 2, local 4, 08760 MARTORELL",409467.0,4592288.0,41.477035,1.9156799
cens-0811410007-1232,FORN PASTISSERIA ARMAND,11.0,"C PEP VENTURA 2 A 1, 08760 MARTORELL",409691.0,4592639.0,41.4802213,1.9183097
cens-0811410007-403,EL PETIT FORN,11.0,"C MERCÈ RODOREDA 12, local 10, 08760 MARTORELL",409581.0,4592404.0,41.4780925,1.9170276
cens-0807060009-4,FORN DE COLLSUSPINA,42.0,"C MAJOR 10, 08178 Collsuspina",431524.08,4630886.75,41.8268582,2.1754069
cens-0826340003-631,FLECA ROSELL,11.0,"C MASIA DE CAN COLL 0029, 08620 SANT VICENÇ DELS HORTS",417163.0,4582262.0,41.3875694,2.0092156
cens-0826280001-71,FORN DE PA,7.0,"C COLON 8, 08295 Sant Vicenç de Castellet",405637.72,4613703.09,41.6694516,1.8664576
cens-0803480001-44,CAL TIÀ,42.0,"C RAVAL 7, 08275 CALDERS",416452.73,4626978.86,41.7902187,1.9944914
cens-0821350006-615,LA CAFETERA,7.0,"C GERMAN DURAN 13, baixos, 08272 SANT FRUITÓS DE BAGES",406651.12,4622720.3,41.7507756,1.8772167
cens-0821350006-429,GRANJA I FORN DE PA ELISABETH,7.0,"C GENERAL PRIM 32-34, 08272 SANT FRUITÓS DE BAGES",406387.89,4623033.82,41.7535681,1.8740019
cens-0826490004-154,CAFETERIA DEGUSTACIO - VACACIONAL,21.0,"C MEDITERRANI 15 LOCAL 72, 72, 08394 SANT VICENÇ DE MONTALT",459821.16,4601789.96,41.5667256,2.5181074
cens-0826490004-11,PASTISSERIA DEL MONTALT,21.0,"PL POBLE 4, 08394 SANT VICENÇ DE MONTALT",459001.76,4603146.07,41.5788986,2.5081874
cens-0826280001-894,FORN DE PA ISABEL,7.0,"C VIA AUGUSTA 72, BX, 08295 Sant Vicenç de Castellet",404862.63,4613615.78,41.6685731,1.8571624
cens-0826490004-192,CAFE SILVIA - FORN DE PA DEGUSTACIO,21.0,"C GINESTA 69, 08394 SANT VICENÇ DE MONTALT",459400.62,4603275.72,41.5800868,2.5129632
cens-0826280001-1118,PA I COQUES DE PERAFITA,7.0,"C EDUARDO PEÑA 93, BXS 2, 08295 Sant Vicenç de Castellet",405316.12,4613825.99,41.6705202,1.8625756
cens-0804100000-280,"CAFETERIA, PASTISSERIA I ENTREPANS SANT JORDI",41.0,"C SANT JORDI 51, BXS, 08420 CANOVELLES",440233.0,4607729.0,41.6189924,2.2825958
cens-0811410007-1065,CISCO,11.0,"C DOCTOR TRUETA 1, local 3, 08760 MARTORELL",409630.0,4592033.0,41.4747568,1.91767
cens-0818030008-2492,PASTISSRIA MATO,40.0,"RBLA SANT JORDI (DE) 100, BAIXOS, 08291 Ripollet",430250.93,4594092.54,41.495365,2.1643724
cens-0810560009-1389,EL PASTET DE LA RAMBLA,41.0,"AV ONZE DE SETEMBRE 86, LOCAL 1, 08120 Llagosta",432754.77,4596260.56,41.5151057,2.1941247
cens-0818030008-1040,SUPAN,40.0,"RBLA SANT ESTEVE (DE) 10, 08291 Ripollet",429715.28,4594472.02,41.498736,2.1579115
